state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
20000000	9.07
20010000	6.47
20020000	9.50
20030000	1.85
20040000	3.26
20050000	8.63
20060000	1.62
20070000	8.14
20080000	3.33
20090000	1.92
20100000	9.12
20110000	2.49
20120000	12.87
20130000	2.94
20140000	11.89
20150000	6.82
20160000	6.38
20170000	2.11
20180000	6.23
20190000	5.14
20200000	2.06
20210000	2.57
20220000	3.93
20230000	4.11
20240000	8.29
20250000	12.09
20260000	1.71
20270000	12.66
20280000	3.97
20290000	4.06
20300000	8.73
20310000	2.75
20320000	6.17
20330000	5.57
20340000	15.26
20350000	9.50
20360000	4.69
20370000	2.73
20380000	10.61
20390000	1.68
20400000	2.05
20410000	2.99
20420000	9.44
20430000	7.69
20440000	7.74
20450000	3.40
20460000	8.57
20470000	16.56
20480000	3.62
20490000	7.75
20500000	3.83
20510000	19.94
20520000	2.81
20530000	10.38
20540000	2.79
20550000	18.02
20560000	2.29
20570000	7.64
20580000	5.57
20590000	7.26
20600000	4.85
20610000	8.40
20620000	4.90
20630000	7.56
20640000	2.95
20650000	6.61
20660000	3.99
20670000	3.78
20680000	2.03
20690000	8.23
20700000	1.16
20710000	2.24
20720000	5.03
20730000	8.03
20740000	2.54
20750000	3.35
20760000	3.94
20770000	32.01
20780000	4.08
20790000	6.10
20800000	4.52
20810000	1.84
20820000	14.75
20830000	4.36
20840000	8.29
20850000	3.11
20860000	2.21
20870000	4.53
20880000	4.03
20890000	6.12
20900000	2.42
20910000	3.59
20920000	4.57
20930000	6.06
20940000	4.59
20950000	5.49
20960000	8.61
20970000	4.41
20980000	3.41
20990000	4.46
21000000	8.26
21010000	5.29
21020000	1.94
21030000	4.64
21040000	4.50
21050000	3.30
21060000	4.57
21070000	3.03
21080000	17.38
21090000	2.93
21100000	7.16
21110000	5.59
21120000	12.81
21130000	10.37
21140000	6.14
21150000	15.96
21160000	6.61
21170000	8.90
21180000	4.00
21190000	11.49
21200000	5.50
21210000	7.51
21220000	3.59
21230000	10.72
21240000	1.80
21250000	17.62
21260000	2.79
21270000	4.24
21280000	1.77
21290000	4.40
21300000	9.18
21310000	1.77
21320000	5.31
21330000	1.64
21340000	2.04
21350000	4.37
21360000	11.83
21370000	2.50
21380000	5.58
21390000	2.02
21400000	2.66
21410000	2.97
21420000	2.07
21430000	6.27
21440000	3.89
21450000	19.56
21460000	6.64
21470000	2.30
21480000	1.21
21490000	6.93
21500000	6.86
21510000	7.21
21520000	4.00
21530000	16.45
21540000	2.62
21550000	1.33
21560000	2.37
21570000	6.14
21580000	2.98
21590000	19.33
21600000	4.45
21610000	1.91
21620000	3.65
21630000	3.11
21640000	5.78
21650000	4.20
21660000	2.76
21670000	9.06
21680000	7.73
21690000	11.20
21700000	5.29
21710000	4.61
21720000	3.01
21730000	7.90
21740000	2.52
21750000	1.45
21760000	1.67
21770000	7.03
21780000	9.01
21790000	3.88
21800000	1.83
21810000	2.99
21820000	3.52
21830000	3.48
21840000	4.96
21850000	4.50
21860000	10.01
21870000	19.03
21880000	14.87
21890000	2.04
21900000	2.45
21910000	8.50
21920000	38.74
21930000	1.83
21940000	7.81
21950000	4.94
21960000	9.14
21970000	7.52
21980000	7.76
21990000	1.88
22000000	1.79
22010000	3.20
22020000	10.16
22030000	9.47
22040000	3.07
22050000	3.69
22060000	12.27
22070000	6.24
22080000	3.27
22090000	4.86
22100000	3.78
22110000	2.86
22120000	1.87
22130000	5.01
22140000	7.33
22150000	2.45
22160000	4.79
22170000	2.93
22180000	10.67
22190000	1.88
22200000	4.63
22210000	11.58
22220000	4.43
22230000	2.85
22240000	4.76
22250000	5.79
22260000	7.89
22270000	4.25
22280000	17.73
22290000	5.68
22300000	4.52
22310000	6.56
22320000	9.25
22330000	33.21
22340000	4.59
22350000	13.09
22360000	8.05
22370000	5.45
22380000	7.58
22390000	5.89
22400000	5.21
22410000	8.12
22420000	56.03
22430000	10.41
22440000	13.17
22450000	14.91
22460000	5.01
22470000	10.79
22480000	4.85
22490000	42.62
22500000	8.48
22510000	2.98
22520000	20.14
22530000	10.66
22540000	11.24
22550000	4.55
22560000	11.23
22570000	3.44
22580000	5.51
22590000	11.87
22600000	4.76
22610000	8.09
22620000	17.98
22630000	2.61
22640000	2.03
22650000	5.61
22660000	15.15
22670000	15.28
22680000	7.29
22690000	3.14
22700000	14.21
22710000	4.90
22720000	3.21
22730000	16.65
22740000	2.04
22750000	1.96
22760000	4.93
22770000	8.95
22780000	19.23
22790000	17.51
22800000	17.26
22810000	8.25
22820000	9.16
22830000	7.12
22840000	17.06
22850000	7.12
22860000	3.56
22870000	4.40
22880000	4.33
22890000	7.11
22900000	3.22
22910000	19.07
22920000	4.00
22930000	2.01
22940000	6.30
22950000	3.89
22960000	7.50
22970000	4.01
22980000	6.31
22990000	2.79
23000000	8.85
23010000	4.93
23020000	3.30
23030000	2.70
23040000	4.40
23050000	3.05
23060000	4.36
23070000	12.13
23080000	4.06
23090000	2.94
23100000	7.77
23110000	5.33
23120000	12.18
23130000	3.11
23140000	1.99
23150000	66.28
23160000	7.82
23170000	8.26
23180000	1.00
23190000	1.81
23200000	6.53
23210000	5.42
23220000	1.85
23230000	4.15
23240000	2.18
