state	OR	ORplusSister
50000000	1976.777427	1820.016280
50050000	1979.028673	1769.457411
50100000	1986.628368	1828.856919
50150000	1984.226338	1853.836758
50200000	1983.739842	1825.844665
50250000	1981.421327	1843.317285
50300000	1979.073548	1823.078871
50350000	1983.782386	1806.358360
50400000	1977.866687	1762.173440
50450000	1976.850425	1789.399822
50500000	1983.465382	1784.958870
50550000	1985.932620	1856.668107
50600000	1984.359362	1847.035551
50650000	1981.020367	1849.828645
50700000	1982.228128	1858.435897
50750000	1990.745591	1830.191672
50800000	1990.166125	1854.701931
50850000	1992.375301	1873.762497
50900000	1991.909116	1869.944996
50950000	1991.081622	1880.640091
51000000	1985.110952	1826.087058
51050000	1976.555875	1821.894693
51100000	1980.586818	1850.438052
51150000	1975.537154	1831.781019
51200000	1982.240557	1851.282276
51250000	1985.639657	1895.019335
51300000	1986.017014	1883.824249
51350000	1982.534203	1838.841463
51400000	1986.741871	1833.334070
51450000	1981.797037	1836.479826
51500000	1976.756416	1782.843351
51550000	1966.930465	1793.371085
51600000	1968.295346	1751.808312
51650000	1969.314763	1723.088951
51700000	1977.381442	1813.069612
51750000	1992.195534	1883.539690
51800000	1988.896117	1834.991409
51850000	1987.394153	1855.968377
51900000	1987.448250	1858.090886
51950000	1989.080146	1860.896428
52000000	1982.233236	1858.012860
52050000	1989.408227	1857.041501
52100000	1985.269472	1827.566656
52150000	1987.269850	1825.025419
52200000	1983.881042	1808.978149
52250000	1981.377273	1833.665810
52300000	1990.368185	1858.453901
52350000	1984.826860	1873.618206
52400000	1976.622950	1846.900213
52450000	1982.701481	1836.353300
52500000	1977.991684	1870.580141
52550000	1986.234169	1852.542095
52600000	1983.526854	1852.545577
52650000	1986.957673	1866.315686
52700000	1980.897622	1841.597784
52750000	1985.324942	1863.990489
52800000	1981.638589	1865.536488
52850000	1983.946227	1851.679761
52900000	1986.513259	1868.840663
52950000	1979.843010	1830.711919
53000000	1984.832087	1862.201466
53050000	1987.527564	1835.188132
53100000	1985.739979	1854.440830
53150000	1982.320251	1857.322826
53200000	1988.083807	1857.978291
53250000	1987.064481	1822.791788
53300000	1991.370412	1826.309516
53350000	1990.579958	1846.524933
53400000	1988.667973	1830.931839
53450000	1987.670478	1833.547122
53500000	1987.022867	1795.069073
53550000	1985.419206	1832.215348
53600000	1976.323030	1794.074252
53650000	1982.051157	1821.164748
53700000	1985.288743	1862.676086
53750000	1984.601540	1851.903940
53800000	1986.517452	1839.609750
53850000	1983.810811	1812.228855
53900000	1985.178208	1831.881673
53950000	1976.837033	1785.226807
54000000	1976.622619	1778.617982
54050000	1982.703103	1846.546474
54100000	1983.171604	1857.142745
54150000	1982.631086	1820.635931
54200000	1978.362878	1802.682448
54250000	1984.384065	1822.225242
54300000	1985.870412	1794.706473
54350000	1986.632973	1819.052530
54400000	1984.088152	1815.670919
54450000	1981.499906	1769.024873
54500000	1968.024952	1776.957887
54550000	1973.401718	1803.452959
54600000	1978.180691	1794.041611
54650000	1977.098746	1778.537422
54700000	1985.268215	1831.091625
54750000	1990.468652	1818.152859
54800000	1985.933439	1810.441353
54850000	1987.950682	1847.725670
54900000	1989.227233	1858.302823
54950000	1988.361646	1838.096893
55000000	1983.124270	1821.675587
55050000	1984.086387	1823.617505
55100000	1984.684815	1806.434354
55150000	1978.229062	1795.180910
55200000	1984.466808	1783.703130
55250000	1988.333404	1815.742780
55300000	1986.497696	1851.063123
55350000	1985.946789	1851.796495
55400000	1984.786073	1825.350549
55450000	1987.557138	1887.226953
55500000	1987.678734	1867.468359
55550000	1991.855316	1873.389760
55600000	1993.488770	1879.967645
55650000	1984.814340	1855.541852
55700000	1987.385451	1841.161584
55750000	1986.763204	1834.350378
55800000	1989.237602	1840.212405
55850000	1984.909549	1827.667461
55900000	1988.421416	1835.466722
55950000	1992.551489	1846.080278
56000000	1986.808912	1857.956796
56050000	1989.974435	1855.788611
56100000	1992.384538	1872.745965
56150000	1979.703612	1875.907326
56200000	1990.415976	1875.439949
56250000	1990.605800	1868.781436
56300000	1990.144634	1850.008868
56350000	1989.464763	1848.638365
56400000	1992.642005	1865.602042
56450000	1989.856066	1874.198808
56500000	1987.853052	1871.847042
56550000	1988.072867	1857.894553
56600000	1992.551097	1863.167361
56650000	1990.530369	1865.750258
56700000	1995.226756	1853.815219
56750000	1997.335600	1871.115124
56800000	1992.134690	1898.780179
56850000	1995.079803	1890.744614
56900000	1995.294859	1877.318130
56950000	1997.413605	1871.671852
57000000	1993.861255	1903.364402
57050000	1997.956582	1882.281424
57100000	2002.299572	1904.778778
57150000	2002.319624	1898.037618
57200000	2001.425901	1903.694378
57250000	2001.283871	1919.594116
57300000	2001.469310	1915.130139
57350000	2000.884968	1920.012440
57400000	1997.720080	1913.619242
57450000	1998.619903	1899.125362
57500000	1997.985571	1889.465357
57550000	1993.392786	1875.377642
57600000	1992.014480	1862.311677
57650000	1988.507336	1845.983751
57700000	1992.286803	1846.276584
57750000	1994.483537	1859.258092
57800000	1992.712398	1876.614042
57850000	1991.021466	1876.949912
57900000	1989.494103	1855.224962
57950000	1987.911434	1845.137420
58000000	1993.415154	1855.020006
58050000	1995.878606	1860.558735
58100000	1992.374873	1858.296554
