simplename	broad_host	collection_date	isolation_source	location	host	strain	SRR	SRA	Sample name	BioSample	name1	name2
7583-6	avian	1988-01-13	liver	USA: CA	Pelican, Brown	7583-6					7583-6|avian|1988-01-13	
GCA_001729025.1	avian	1999	Chicken carcass			ST397			ST397	SAMN05172532	GCA_001729025.1|avian|1999	
GCA_001729035.1	avian	1999	Ground turkey			ST452			ST452	SAMN05172535	GCA_001729035.1|avian|1999	
GCA_002631125.1	avian	1999	ground turkey			SE426			SE426	SAMN07781985	GCA_002631125.1|avian|1999	
GCA_001729045.1	avian	1999	Turkey			ST478			ST478	SAMN05172537	GCA_001729045.1|avian|1999	
GCA_002723675.1	avian	1999	Turkey diagnostic			SE484			SE484	SAMN07781986	GCA_002723675.1|avian|1999	
GCA_002861645.1	avian	1999			Turkey	388			388	SAMN08165383	GCA_002861645.1|avian|1999	
GCA_002631105.1	avian	2000	chicken carcass			SE376			SE376	SAMN07781964	GCA_002631105.1|avian|2000	
GCA_002265805.1	avian	2000	missing		chicken	SE36N			SE36N	SAMN07421232	GCA_002265805.1|avian|2000	
GCA_002265755.1	avian	2000	missing		turkey	SE697			SE697	SAMN07420504	GCA_002265755.1|avian|2000	
15332-3	avian	2000-09-28	spleen	USA: HI	Heron, Black-crowned Night	15332-3					15332-3|avian|2000-09-28	
GCA_000973845.1	avian	2004-11-13	fecal material		Gallus gallus domesticus	SALF-276-1			Salmonella enterica subsp. enterica serovar Typhimurium isolate SALF-276-1	SAMN03293339	GCA_000973845.1|avian|2004-11-13	
GCA_000974015.1	avian	2004-12-06	fecal material		Gallus gallus domesticus	SALF-297-2			Salmonella enterica subsp. enterica serovar Typhimurium isolate SALF-297-2	SAMN03293336	GCA_000974015.1|avian|2004-12-06	
GCA_000974215.1	avian	2004-12-06	fecal material		Gallus gallus domesticus	SALF-297-3			Salmonella enterica subsp. enterica serovar Typhimurium isolate SALF-297-3	SAMN03293333	GCA_000974215.1|avian|2004-12-06	
GCA_000973885.1	avian	2004-12-20	fecal material		Gallus gallus domesticus	SALH-394-2			Salmonella enterica subsp. enterica serovar Typhimurium isolate SALH-394-2	SAMN03293334	GCA_000973885.1|avian|2004-12-20	
GCA_000974035.1	avian	2005-03-03	fecal material		Gallus gallus domesticus	SALI-436-3			Salmonella enterica subsp. enterica serovar 4,[5],12:i: isolate SALI-436-3	SAMN03293337	GCA_000974035.1|avian|2005-03-03	
GCA_000973915.1	avian	2005-06-27	fecal material		Gallus gallus domesticus	ABB1162-2			Salmonella enterica subsp. enterica serovar Typhimurium isolate ABB1162-2	SAMN03293340	GCA_000973915.1|avian|2005-06-27	
GCA_001588285.1	avian	2006	Cold chicken			CFSAN033903			CFSAN033903	SAMN03941135	GCA_001588285.1|avian|2006	
GCA_000974095.1	avian	2006-06-26	fecal material		Gallus gallus domesticus	ABBSB1113-1			Salmonella enterica subsp. enterica serovar Typhimurium isolate ABBSB1113-1	SAMN03293332	GCA_000974095.1|avian|2006-06-26	
