Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
USA/AZ-TG268893/2020	EPI_ISL_426512	3/5/20	AZ SPHL, Arizona Department of Health Services	TGen North	Jolene Bowers et al
Wuhan/IVDC-HB-01/2019	EPI_ISL_402119	12/30/19	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al
Wuhan/IVDC-HB-04/2020	EPI_ISL_402120	1/1/20	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al
Wuhan/IVDC-HB-05/2019	EPI_ISL_402121	12/30/19	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control and Prevention, China CDC	Wenjie Tan et al
Wuhan/IPBCAMS-WH-01/2019	EPI_ISL_402123	12/24/19	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al
Wuhan/WIV04/2019	EPI_ISL_402124	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/Hu-1/2019	EPI_ISL_402125	12/26/19	unknown	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al
Wuhan/WIV02/2019	EPI_ISL_402127	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/WIV05/2019	EPI_ISL_402128	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/WIV06/2019	EPI_ISL_402129	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
Wuhan/WIV07/2019	EPI_ISL_402130	12/30/19	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
bat/Yunnan/RaTG13/2013	EPI_ISL_402131	7/24/13	Wuhan Institute of Virology, Chinese Academy of Sciences	Wuhan Institute of Virology, Chinese Academy of Sciences	Yan Zhu et al
Wuhan/HBCDC-HB-01/2019	EPI_ISL_402132	12/30/19	Wuhan Jinyintan Hospital	Hubei Provincial Center for Disease Control and Prevention	Bin Fang et al
Wuhan/IPBCAMS-WH-05/2020	EPI_ISL_403928	1/1/20	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al
Wuhan/IPBCAMS-WH-04/2019	EPI_ISL_403929	12/30/19	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al
Wuhan/IPBCAMS-WH-03/2019	EPI_ISL_403930	12/30/19	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al
Wuhan/IPBCAMS-WH-02/2019	EPI_ISL_403931	12/30/19	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Lili Ren et al
Guangdong/20SF012/2020	EPI_ISL_403932	1/14/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF013/2020	EPI_ISL_403933	1/15/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF014/2020	EPI_ISL_403934	1/15/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF025/2020	EPI_ISL_403935	1/15/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF028/2020	EPI_ISL_403936	1/17/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF040/2020	EPI_ISL_403937	1/18/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Department of Microbiology, Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Thailand/61/2020	EPI_ISL_403962	1/8/20	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al
Thailand/74/2020	EPI_ISL_403963	1/13/20	Bamrasnaradura Hospital	1. Department of Medical Sciences, Ministry of Public Health, Thailand 2. Thai Red Cross Emerging Infectious Diseases - Health Science Centre 3. Department of Disease Control, Ministry of Public Health, Thailand	Pilailuk et al
Zhejiang/WZ-01/2020	EPI_ISL_404227	1/16/20	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yin Chen et al
Zhejiang/WZ-02/2020	EPI_ISL_404228	1/17/20	Zhejiang Provincial Center for Disease Control and Prevention	Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention	Yanjun Zhang et al
USA/IL1/2020	EPI_ISL_404253	1/21/20	IL Department of Public Health Chicago Laboratory	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
USA/WA1/2020	EPI_ISL_404895	1/19/20	Providence Regional Medical Center	Division of Viral Diseases, Centers for Disease Control and Prevention	Queen et al
Shenzhen/HKU-SZ-005/2020	EPI_ISL_405839	1/11/20	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al
Shenzhen/HKU-SZ-002/2020	EPI_ISL_406030	1/10/20	The University of Hong Kong - Shenzhen Hospital	Li Ka Shing Faculty of Medicine, The University of Hong Kong	Chan et al
Taiwan/2/2020	EPI_ISL_406031	1/23/20	Centers for Disease Control, R.O.C. (Taiwan)	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al
USA/CA1/2020	EPI_ISL_406034	1/23/20	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/CA2/2020	EPI_ISL_406036	1/22/20	California Department of Public Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Anna Uehara et al
USA/AZ1/2020	EPI_ISL_406223	1/22/20	Arizona Department of Health Services	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Ying Tao et al
Guangdong/20SF174/2020	EPI_ISL_406531	1/22/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Disease Control and Prevention	Min Kang et al
Guangzhou/20SF206/2020	EPI_ISL_406533	1/22/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provinical Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Foshan/20SF207/2020	EPI_ISL_406534	1/22/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Foshan/20SF210/2020	EPI_ISL_406535	1/22/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Foshan/20SF211/2020	EPI_ISL_406536	1/22/20	Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Guangdong/20SF201/2020	EPI_ISL_406538	1/23/20	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Guangdong Provincial Center for Diseases Control and Prevention	Min Kang et al
Shenzhen/SZTH-002/2020	EPI_ISL_406593	1/13/20	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang et al
Shenzhen/SZTH-003/2020	EPI_ISL_406594	1/16/20	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Shenzhen Key Laboratory of Pathogen and Immunity, National Clinical Research Center for Infectious Disease, Shenzhen Third People's Hospital	Yang Yang et al
France/IDF0372/2020	EPI_ISL_406596	1/23/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
France/IDF0373/2020	EPI_ISL_406597	1/23/20	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al
Wuhan/WHU01/2020	EPI_ISL_406716	1/2/20	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al
Wuhan/WHU02/2020	EPI_ISL_406717	1/2/20	unknown	State Key Laboratory of Virology, Wuhan University	Chen et al
Wuhan/WH01/2019	EPI_ISL_406798	12/26/19	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al
Wuhan/WH03/2020	EPI_ISL_406800	1/1/20	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al
Wuhan/WH04/2020	EPI_ISL_406801	1/5/20	General Hospital of Central Theater Command of People's Liberation Army of China	BGI & Institute of Microbiology, Chinese Academy of Sciences & Shandong First Medical University & Shandong Academy of Medical Sciences & General Hospital of Central Theater Command of People's Liberation Army of China	Weijun Chen et al
Germany/BavPat1/2020	EPI_ISL_406862	1/28/20	Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman et al
Hangzhou/HZ-1/2020	EPI_ISL_406970	1/20/20	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	Yu Hua et al
Singapore/1/2020	EPI_ISL_406973	1/23/20	Singapore General Hospital	National Public Health Laboratory	Mak et al
England/01/2020	EPI_ISL_407071	1/29/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
England/02/2020	EPI_ISL_407073	1/29/20	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al
Finland/1/2020	EPI_ISL_407079	1/29/20	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al
SouthKorea/KCDC03/2020	EPI_ISL_407193	1/25/20	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Korea Centers for Disease Control & Prevention (KCDC) Center for Laboratory Control of Infectious Diseases Division of Viral Diseases	Jeong-Min Kim et al
USA/WA1-A12/2020	EPI_ISL_407214	1/25/20	WA State Department of Health	Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention	Krista Queen et al
